,Nome Unidade Orçamentária,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
1,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","938784,7900","937784,7900"
2,FUNDO NACIONAL DE SAUDE,"368104,1000","614361,9600","363113,9800"
3,FUNDO NACIONAL DE SAUDE,"138347,0900","15098,2700","196381,2200"
4,MINISTERIO DA ECONOMIA,"4990,9900","4990,9900","4990,9900"
5,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"-9374,0000","0,0000","1318,5000"
6,CAIXA DE CONST.DE CASAS DO PESSOAL DA MARINHA,"0,0000","75456,9400","75456,9400"
7,MINISTERIO DAS RELACOES EXTERIORES,"43278,8500","43264,0800","43264,0800"
9,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"150,0000","150,0000","150,0000"
11,FUNDACAO NACIONAL DE SAUDE,"-3508,3100","63577,3400","42977,2500"
12,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,"0,0000","5400,0000","5400,0000"
13,COMANDO DO EXERCITO,"50241,2500","2753,5200","2753,5200"
14,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","-7010,5600","19225,2400","19225,2400"
16,INSTITUTO DE PESQUISA ECONOMICA APLICADA-IPEA,"83610,0000","574835,0000","574835,0000"
17,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","206316,5600","346943,7800","457110,0200"
18,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE","-5677,0000","1000,0000","1000,0000"
19,HOSPITAL UNIVERSITARIO DA FUMA,"34229,9200","33803,8800","6769,8000"
20,UNIVERSIDADE FEDERAL DO SUL DA BAHIA - UFESBA,"-58672,3800","16735,3500","4304,9200"
21,COMANDO DO EXERCITO,"-3950,9700","4023,4000","9992,1400"
23,FUNDO NAVAL,"12048,0000","12048,0000","12048,0000"
25,FUNDO DO SERVICO MILITAR,"-32,0000","1482,0000","1482,0000"
29,FUNDACAO UNIVERSIDADE FEDERAL DE TOCANTINS,"0,0000","12327,0000","12327,0000"
30,FUNDO DO EXERCITO,"7,8200","258,5400","258,5400"
32,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"-80546,8800","986187,5800","5285,3200"
33,COMANDO DA MARINHA,"112015,0100","40634,2200","80426,1800"
34,HOSPITAL UNIVERSITARIO DA FUFSE,"-48721,8500","138545,0000","138163,3400"
35,COMANDO DO EXERCITO,"0,0000","0,0000","528,0000"
37,COMANDO DO EXERCITO,"8002,2000","2144,0000","2144,0000"
38,MINISTERIO DA JUSTICA E SEGURANçA PUBLICA,"-161826,2500","3898,0200","3898,0200"
39,FUNDO NACIONAL DE SAUDE,"30417,2200","14818,7500","171813,1300"
40,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"27375,0000","331317,9000","331317,9000"
42,INSTITUTO NACIONAL DO SEGURO SOCIAL,"20503,7800","20508,7800","20508,7800"
43,MINISTERIO DAS RELACOES EXTERIORES,"25,8500","-467,2200","-467,2200"
44,FUNDO DO EXERCITO,"4189,3600","1497,6000","1497,6000"
45,COMANDO DA AERONAUTICA,"-46,5400","1316,5000","12998,6800"
46,DEPARTAMENTO DE POLICIA FEDERAL,"-224793,0800","223912,0400","261298,3200"
48,COMANDO DA MARINHA,"939,7500","2200,0000","2200,0000"
49,COMISSAO DE VALORES MOBILIARIOS,"6003,8300","0,0000","5350,9500"
50,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,"-33992,5900","13551,7800","21112,4400"
51,COMANDO DO EXERCITO,"-6480,1500","2217,5000","2217,5000"
52,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","-30410,1900","90331,0000","108554,5900"
54,MINISTERIO DAS RELACOES EXTERIORES,"14759,2000","16185,8300","16185,8300"
55,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS","279201,8800","18643,8900","18643,8900"
56,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"0,0000","184,7000","184,7000"
60,UNIVERSIDADE FEDERAL DE CATALAO,"352,0000","352,0000","352,0000"
62,COMPANHIA NACIONAL DE ABASTECIMENTO,"363,0000","363,0000","363,0000"
63,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","24964,0800","24964,0800"
64,COMANDO DO EXERCITO,"15118,0900","57857,9300","57857,9300"
65,COMANDO DO EXERCITO,"-2730,5800","1399,6000","1399,6000"
68,INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE,"3245,7600","21322,7200","17540,9000"
70,PROCURADORIA GERAL DA FAZENDA NACIONAL,"-314872,2500","473338,1100","428890,4900"
71,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"3654,6000","1827,3000","1827,3000"
72,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"-2511,0000","26163,0000","26163,0000"
73,FUNDACAO NACIONAL DE SAUDE,"0,0000","495,8200","495,8200"
76,MINISTÉRIO DA EDUCAÇÃO,"-468,2500","-23852,5200","-23852,5200"
77,"INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA","-495061,6100","57393,0900","33878,8300"
78,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-4988,0400","3592,5000","6379,9800"
80,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","-68778,9400","1050,2400","548,1300"
82,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"3419,5400","3419,5400","3419,5400"
83,FUNDO DO EXERCITO,"3000,0000","3000,0000","3000,0000"
84,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","-21000,0000","8000,0000","23100,0000"
85,COMANDO DO EXERCITO,"0,0000","3514,0000","3514,0000"
86,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"10253,6200","30122,0700","30122,0700"
87,FUNDO DO EXERCITO,"0,0000","3307,5000","3307,5000"
88,FUNDO DO EXERCITO,"1459,1900","2196,9700","2196,9700"
91,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"30117,0600","152000,0100","152000,0100"
94,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"422,2900","422,2900","422,2900"
95,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-4105,0700","1075,1400","537,5700"
96,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,"85049,6100","104728,3800","70267,4500"
97,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE","94296,9900","32850,6500","75665,9300"
101,"INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO","0,0000","-800,0000","70300,0000"
102,FUNDACAO JOAQUIM NABUCO,"-8191,2300","0,0000","27724,0900"
106,FUNDO DO EXERCITO,"0,0000","5725,7100","5725,7100"
107,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS-ANTAQ,"0,0000","6918,5700","6918,5700"
108,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","160375,9800","320751,9600"
110,SUPERINT. ZONA FRANCA DE MANAUS - SUFRAMA,"-49530,3300","253189,5200","253189,5200"
112,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","0,0000","1,0200","1,0200"
113,FUNDO NACIONAL DE SAUDE,"-16961,7500","5768,0100","5768,0100"
114,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"401093,1300","21231,0000","11771,6900"
115,COMANDO DO EXERCITO,"0,0000","12155,0000","24310,0000"
116,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,"-200000,0000","42976,9300","68203,3000"
117,FUNDO DO EXERCITO,"-946,0000","1593,0000","1593,0000"
118,TRIBUNAL SUPERIOR ELEITORAL,"-411,0000","22674,0000","22674,0000"
119,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,"253210,0000","458674,4000","1091806,8000"
122,COMANDO DO EXERCITO,"-675,8500","824,1500","824,1500"
123,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"503662,6400","50037,3500","1850,5500"
126,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-98012,6400","-15922,1400","-15922,1400"
128,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"84396,0000","62172,0000","62172,0000"
130,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG","90,2200","61734,2300","61734,2300"
132,COMANDO DA AERONAUTICA,"0,0000","779,0000","779,0000"
134,MINISTERIO DAS RELACOES EXTERIORES,"12160,1600","58446,7400","58446,7400"
135,RECURSOS SOB SUPERV. DO ME - DÍVIDA PÚB. FED.,"-612835280,1600","72993864,5300","72993864,5300"
136,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS","4045,1400","35,0600","35,0600"
137,COMANDO DO EXERCITO,"1165,5000","1165,5000","2331,0000"
138,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"3675,8000","100,0000","200,0000"
141,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-30994,5100","5355,1400","5089,6400"
142,FUNDO DO EXERCITO,"-7,4000","6497,2200","6497,2200"
143,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"1050,6400","1050,6400","1050,6400"
144,FUNDO NAVAL,"-43742,2000","0,0000","5378,1200"
148,COMANDO DO EXERCITO,"17517,5000","30437,7100","31697,7100"
149,COMANDO DO EXERCITO,"9000,0000","22418,7900","20364,3600"
150,INSTITUTO NACIONAL DO SEGURO SOCIAL,"12,5000","12,5000","12,5000"
152,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","60000,0000","90800,0000","102950,0000"
153,MINISTERIO DA DEFESA,"0,0000","59145,2000","51971,7000"
155,MINISTÉRIO DA EDUCAÇÃO,"634,6400","0,0000","8168,0000"
156,AGENCIA NACIONAL DE MINERACAO,"2218,5500","969,7300","831,2000"
157,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,"2922,7700","1747,1900","1747,1900"
158,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"7227,9000","71790,0000","96430,0000"
161,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"45268,7200","6208,6600","6208,6600"
162,MINISTERIO DAS RELACOES EXTERIORES,"71034,8300","21164,6500","21164,6500"
163,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,"798246,0100","68565,9200","2589,5000"
164,FUNDACAO NACIONAL DE SAUDE,"-631,4600","15653,7100","11899,7800"
165,FUNDO DO EXERCITO,"0,0000","419,2000","419,2000"
168,MINISTERIO DAS RELACOES EXTERIORES,"0,0000","16630,6600","16630,6600"
169,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"0,0000","5581,1800","5581,1800"
170,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"599601,3600","5987468,1500","5987468,1500"
171,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG","-2601,0000","89325,0000","89325,0000"
172,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"-8060,0000","12301,5000","22485,5000"
175,MINISTERIO DAS RELACOES EXTERIORES,"6433,7400","6584,7600","6584,7600"
176,COMANDO DO EXERCITO,"-7602,5700","72419,7700","84633,5000"
177,UNIVERSIDADE FEDERAL DE ALFENAS,"156986,8100","1585654,8000","1276378,3000"
179,MINISTERIO DA DEFESA,"13827,3800","2329,0000","2329,0000"
180,COMANDO DO EXERCITO,"-44113,9200","2723,5600","3534,8100"
181,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,"-124279,9100","191095,0900","242940,0900"
182,FUNDO NAVAL,"2675,2600","5350,5200","2823,0200"
185,FUNDO NAVAL,"0,0000","0,0000","22920,1300"
186,"INST.FED.DE EDUC.,CIENC.E TEC.DO RS","155,5000","14295,4100","10341,0100"
188,MINISTERIO DA ECONOMIA,"1492,8000","5142,3000","5228,6000"
189,MINISTERIO DAS RELACOES EXTERIORES,"97612,0100","16813,1600","16930,3400"
190,COMANDO DO EXERCITO,"539662,3400","675072,2800","675072,2800"
191,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"94280,3100","21734,8800","12574,2500"
192,COMANDO DO EXERCITO,"0,0000","7124,1400","7124,1400"
198,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","30000,0000","15000,0000"
199,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,"0,0000","0,0000","162,6800"
203,FUNDO AERONAUTICO,"0,0000","24821,1900","19630,7900"
206,COMANDO DO EXERCITO,"0,0000","1552,3000","3760,1000"
207,COMANDO DO EXERCITO,"0,0000","3618,1000","1534,5400"
210,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO","0,0000","50500,0000","27900,0000"
211,COMANDO DA MARINHA,"2092,9000","2092,9000","2092,9000"
212,FUNDO NACIONAL DE SAUDE,"19208,3400","40162,8400","11341,8000"
213,COMANDO DA AERONAUTICA,"2846,1000","2846,1000","2846,1000"
215,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-312474,1000","80426,0700","83292,5100"
216,COMANDO DO EXERCITO,"0,0000","19800,0000","19800,0000"
217,UNIVERSIDADE FEDERAL DE GOIAS,"-1523826,3500","221723,8000","221723,8000"
218,FUNDO AERONAUTICO,"0,0000","165,6600","165,6600"
219,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"79985,0000","22060,0000","22060,0000"
221,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","919051,1300","14019,9000","14019,9000"
224,FUNDO NACIONAL DE SAUDE,"0,0000","20664,2600","20664,2600"
225,COMANDO DA MARINHA,"0,0000","0,0000","58,3500"
226,MINISTERIO DA DEFESA,"0,0000","15043,6000","15043,6000"
227,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"-739,4800","0,0000","2181,3000"
231,COMANDO DO EXERCITO,"0,0000","9653,4400","9514,7200"
232,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"30,0000","30,0000","30,0000"
233,COMANDO DO EXERCITO,"0,0000","0,0000","1483,5600"
236,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-7000,0000","1978,3600","989,1800"
237,FUNDO NAVAL,"0,0000","983,7000","2947,1000"
238,FUNDAÇÃO NACIONAL DE ARTES,"-1394,5000","1517,2500","1517,2500"
240,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"17536,2800","8123,4900","9082,3400"
241,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"10909,9200","840,0000","840,0000"
243,MINISTERIO DAS RELACOES EXTERIORES,"642,6500","11101,8800","11101,8800"
246,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,"-260930,5400","100468,3800","177762,5100"
249,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"-32575,0000","810,0000","720,0000"
250,FUNDO DO EXERCITO,"1237,9000","1237,9000","3833,0200"
251,MINISTERIO DA ECONOMIA,"-9925,8000","2850,1000","2850,1000"
252,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"-2608,1400","-156,1800","-156,1800"
253,AGENCIA ESPACIAL BRASILEIRA - AEB,"928653,2300","32049,9000","32049,9000"
254,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,"0,0000","12591,3300","13893,0900"
256,COMPANHIA NACIONAL DE ABASTECIMENTO,"11752,8600","23933,1600","33560,2600"
258,FUNDO NACIONAL DE SAUDE,"24972346,0300","20161549,3400","617060,1800"
259,"INST.FED.DE EDUC.,CIENC.E TEC.DO ACRE","0,0000","11,1800","22,3600"
260,TRIBUNAL SUPERIOR ELEITORAL,"-23130,1500","-23130,1500","-23130,1500"
264,COMANDO DO EXERCITO,"0,0000","5804,7000","4442,7800"
266,MINISTERIO DA DEFESA,"-17134,6000","4382,0500","4382,0500"
267,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"403,1200","166,6800","101,7800"
268,FUNDO NACIONAL DE SAUDE,"0,0000","0,0000","8053,6200"
269,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG","0,0000","3109,4700","6276,1300"
270,FUNDO DO EXERCITO,"3978,1800","2955,2000","2352,1000"
272,FUNDO DO EXERCITO,"0,0000","630,0000","1622,1000"
274,FUNDO AERONAUTICO,"0,0000","8058,3900","8058,3900"
275,COMANDO DO EXERCITO,"0,0000","6455,9700","4774,9700"
276,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,"-227223,0600","1982,5300","1982,5300"
277,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","-850,0100","5421,9300","5421,9300"
278,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-100670,7600","11957,6300","11957,6300"
279,MINISTERIO DAS RELACOES EXTERIORES,"5272,8800","5272,8800","5272,8800"
281,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","0,0000","944,1000","944,1000"
285,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,"458,8500","3257,6000","3289,6000"
286,DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS,"100160,0000","160,0000","160,0000"
287,DEPARTAMENTO DE POLICIA FEDERAL,"-3498264,1600","1663838,6500","1811349,8600"
289,MINISTÉRIO DA EDUCAÇÃO,"61643,5000","4841,9900","4841,9900"
290,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","387,9800","387,9800"
291,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"1360464,5300","123168,5600","126131,9000"
292,COMANDO DO EXERCITO,"2770,7200","2770,7200","1385,3600"
293,COMANDO DO EXERCITO,"0,0000","628,6500","628,6500"
294,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO","41888,4500","10120,3000","62985,8200"
297,MINISTERIO DAS RELACOES EXTERIORES,"179559,1400","21590,7800","21590,7800"
298,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,"586537,4200","21260,1800","64311,4500"
300,UNIVERSIDADE FEDERAL DE JATAI,"-2213,3400","2000,0000","2800,0000"
301,COMANDO DO EXERCITO,"0,0000","1138,0000","2138,0000"
302,COMANDO DA MARINHA,"1034,1000","227443,6800","2825,2000"
303,FUNDO NAVAL,"848141,3300","255909,5500","1885067,8800"
304,UNIVERSIDADE FEDERAL DA BAHIA,"-14050,0000","50080,0000","50417,5000"
305,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,"41981,2400","432247,8900","850585,0200"
306,COMANDO DA MARINHA,"0,0000","898693,1900","898693,1900"
307,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"3472,1800","4396,7100","4396,7100"
308,"INST.FED.DE EDUC.,CIENC.E TEC.DO PARA","17308,7000","17939,0000","17939,0000"
309,COMANDO DO EXERCITO,"0,0000","10626,4100","10626,4100"
312,COMANDO DO EXERCITO,"-1455,0000","0,0000","1107,0000"
314,UNIVERSIDADE FEDERAL DE SÃO PAULO,"0,0000","3897,6500","120542,5800"
315,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,"30980,1500","30980,1500","32680,1500"
316,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE","0,0000","280,3900","207,5600"
317,COMANDO DO EXERCITO,"0,0000","6961,0500","6961,0500"
318,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"-50,6300","131,2500","131,2500"
319,COMANDO DA MARINHA,"2024,7800","1721,5600","1231,0000"
320,FUNDACAO NACIONAL DO INDIO,"-67,7200","6132,7500","6132,7500"
321,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"574,1000","20438,0800","18598,2600"
322,COMANDO DO EXERCITO,"-269,6700","3388,0800","3388,0800"
324,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","-7685,0300","444188,9000","501609,0700"
325,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"-23583,1500","5491,9100","5495,9100"
326,"INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO","-49764,0600","14280,9600","37843,9000"
327,AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL,"-13712,2700","6073,1700","6073,1700"
328,"INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO","0,0000","0,0000","38,4900"
330,MINISTERIO DAS RELACOES EXTERIORES,"-625,3500","-625,3500","-625,3500"
331,UNIVERSIDADE FEDERAL FLUMINENSE,"12654,2600","100,7500","13250,6000"
332,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"128193,4000","2895631,1100","2833202,0000"
333,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"13306,0800","7256,0800","3052,3300"
334,CONTROLADORIA GERAL DA UNIÃO,"-9850,0800","62208,9300","62208,9300"
335,COMPANHIA NACIONAL DE ABASTECIMENTO,"13499,9900","13499,9900","272250,0000"
337,"INST.FED.DE EDUC.,CIENC.E TEC.DO TRIA.MINEIRO","600203,0900","18169,8400","4969,8400"
338,COMANDO DO EXERCITO,"27206,5500","0,0000","4900,0000"
339,FUNDO NAVAL,"48653,8900","4380,6000","710,6400"
340,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,"0,0000","2547,0800","5094,1600"
341,DEPARTAMENTO DE POLICIA FEDERAL,"26335,4000","42250,8200","44193,6800"
343,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,"-187,5000","-187,5000","719,0000"
344,MINISTÉRIO DA EDUCAÇÃO,"0,0000","696,0000","696,0000"
347,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO","93122,4600","2172,1400","10771,0700"
349,COMANDO DO EXERCITO,"101480,0000","1451,0000","1451,0000"
350,"INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA","0,0000","-843,4400","-825,4800"
351,FUNDO DO EXERCITO,"0,0000","12744,0000","12744,0000"
352,FUNDO NAVAL,"554,9600","4648,3600","4473,4000"
353,AGENCIA NACIONAL DE MINERACAO,"-1800,9400","1873,8400","1873,8400"
356,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","0,0000","0,0000","154306,0000"
357,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,"167,4900","262,4900","190,0000"
358,COMANDO DO EXERCITO,"-97241,9600","627626,7100","627626,7100"
359,COMANDO DO EXERCITO,"0,0000","36786,3200","36786,3200"
360,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,"16552,3400","16552,3400","33104,6800"
361,COMANDO DA MARINHA,"84090,2400","86976,3200","86976,3200"
362,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"7000,0000","13704,6100","19986,1500"
365,FUNDACAO OSWALDO CRUZ,"1488,0800","1488,0800","1488,0800"
366,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"22316,7800","22316,7800","22316,7800"
367,FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,"0,0000","0,0000","4018,1400"
369,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG","47288,9900","41499,9300","38915,2200"
371,INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE,"-13258,1400","37165,2100","37165,2100"
374,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"0,0000","131,6800","131,6800"
375,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"609753,9800","178,2000","178,2000"
376,COMANDO DO EXERCITO,"0,0000","30498,7500","26940,0000"
377,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","80,9000","80,9000"
381,COMANDO DO EXERCITO,"0,0000","1080,9000","1090,9000"
382,BANCO CENTRAL DO BRASIL,"132770,4800","11363957,9800","11363957,9800"
383,COMANDO DO EXERCITO,"-81,6000","133,9500","918,6500"
386,FUNDO DO EXERCITO,"-2124,4900","546,9200","546,9200"
387,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO","0,0000","5500,0000","11000,0000"
389,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"-400000,0000","1518251,2900","1518251,2900"
390,UNIVERSIDADE FEDERAL DE ALFENAS,"9529,1600","16352,0100","20367,6700"
391,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"692,4000","19984,0600","226081,1300"
392,COMANDO DO EXERCITO,"320,0000","1077,8800","544,3200"
396,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO","25300,0000","9900,0000","9900,0000"
397,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS","268751,2900","375714,9500","20573,3700"
398,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"-10375282,4300","4230898,4600","4150555,0700"
402,"VALEC-ENGENHARIA, CONSTRUCOES E FERROVIAS S/A","175250,2100","244958,7400","242563,4600"
403,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG","959,9900","519,9900","519,9900"
404,COMANDO DO EXERCITO,"299034,8800","299034,8800","416030,2900"
405,FUNDO DO EXERCITO,"132616,4300","245528,0000","245528,0000"
407,INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL,"-2182609,1400","348055,6900","348055,6900"
408,FUNDO DO EXERCITO,"-26,5400","3969,0600","4244,2600"
409,COMANDO DA MARINHA,"0,0000","0,0000","2400,0000"
412,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","-25055,0000","23600,0000","28000,0000"
413,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS","39214,9000","42118,1600","42118,1600"
414,COMPANHIA NACIONAL DE ABASTECIMENTO,"7700,9200","18300,9200","23001,2200"
415,COMPANHIA BRASILEIRA DE TRENS URBANOS - CBTU,"2584,8800","287,8800","14547,8800"
416,UNIVERSIDADE FEDERAL DA PARAIBA,"8673,3400","20848,6700","19162,0000"
417,FUNDO NAVAL,"1384790,6700","3800012,0100","3804754,4100"
419,MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO,"0,0000","9678,1000","9678,1000"
420,FUNDO DO EXERCITO,"1003393,9900","1026946,3400","1026946,3400"
422,EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH,"0,0000","66523,7000","4311,2000"
423,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","-800,0000","-750,0000","-750,0000"
424,AGENCIA NACIONAL DE MINERACAO,"-65,6000","-65,6000","-65,6000"
425,INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA,"0,0000","226051,4700","226051,4700"
426,MINISTERIO DOS DIREITOS HUMANOS - MDH,"1965001,5600","3452039,2600","3452039,2600"
430,FUNDACAO NACIONAL DO INDIO,"-2606,2000","300,0000","300,0000"
431,INST.BRAS.DO MEIO AMB.E REC.NAT.RENOVAVEIS,"-35373,9600","135,3600","135,3600"
434,COMANDO DO EXERCITO,"0,0000","0,0000","4945,0000"
437,FUNDO DO EXERCITO,"3035,9300","1619,5000","2014,0600"
438,COMANDO DO EXERCITO,"15053,6500","2248,0000","2248,0000"
439,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","92,0000","92,0000"
441,INSTITUTO NACIONAL DO SEGURO SOCIAL,"35722,7800","35722,7800","76357,4400"
442,FUNDO NACIONAL DE SAUDE,"-10868,0400","12467,5300","12466,4400"
444,AGENCIA NACIONAL DO PETROLEO - ANP,"-61576,4400","120662,5300","120662,5300"
445,FUNDACAO NACIONAL DE SAUDE,"-3178,9700","34260,7600","31427,4300"
447,CONTROLADORIA GERAL DA UNIÃO,"0,0000","108195,2000","33441,4600"
448,SUPERINT. DO DESENVOLV. DO NORDESTE - SUDENE,"3480,8400","40480,8400","35772,0900"
452,COMANDO DO EXERCITO,"0,0000","3226,9400","3226,9400"
455,MINISTERIO DAS RELACOES EXTERIORES,"9986,5700","10004,0100","10004,0100"
