,Nome Unidade Orçamentária,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
17973,COMANDO DO EXERCITO,"-5797,6000","4843,7600","4843,7600"
17974,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,"28536,1100","9135,0000","9193,9600"
17975,FUNDACAO NACIONAL DO INDIO,"-52,5000","2944,5200","5889,0400"
17977,FUNDO AERONAUTICO,"0,0000","951,7800","951,7800"
17978,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","-4196,0000","14419,6000","14019,6000"
17979,COMANDO DO EXERCITO,"-1270,9500","3015,0000","6535,1900"
17981,SUPERINT. ZONA FRANCA DE MANAUS - SUFRAMA,"0,0000","506201,2400","815738,5900"
17982,INEP-INST.NAC.DE ESTUDOS E PESQ.EDUCACIONAIS,"-172915,8200","5757,3400","5757,3400"
17984,SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL,"34280,9500","13780,9500","13780,9500"
17985,COMANDO DO EXERCITO,"0,0000","8917,5400","8917,5400"
17986,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"76296,9300","120179,6500","158434,1600"
17989,CONTROLADORIA GERAL DA UNIÃO,"-50558,3600","72,3000","2954,3400"
17991,FUNDACAO NACIONAL DO INDIO,"7175,0000","7175,0000","7175,0000"
17993,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE","3000,0000","2703,0000","2703,0000"
17995,COMANDO DO EXERCITO,"0,0000","6214,9900","6214,9900"
17996,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"0,0000","1199,6100","1199,6100"
17997,FUND. INST.BRASIL. DE GEOGRAFIA E ESTATISTICA,"69800,0000","0,0000","33250,0000"
17998,COMANDO DO EXERCITO,"0,0000","53700740,0300","53778615,0300"
17999,COMISSAO NACIONAL DE ENERGIA NUCLEAR - CNEN,"-21640,6500","18952,2100","18952,2100"
18001,FUNDO NACIONAL DE SAUDE,"27690,7600","10150,0000","10150,0000"
18003,COMANDO DO EXERCITO,"450385,0000","76533,0300","111032,5300"
18004,COMANDO DO EXERCITO,"3481,3600","1740,6800","1740,6800"
18005,FUNDO DO EXERCITO,"0,0000","1878,9900","1878,9900"
18006,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,"2767947,4600","2805484,0900","672,6100"
18007,MINISTERIO DA ECONOMIA,"0,0000","22927,6300","22927,6300"
18009,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","-63438,5800","209066,2500","215573,4800"
18014,INSTITUTO NACIONAL DO SEGURO SOCIAL,"40716,0000","40716,0000","40716,0000"
18015,MINISTERIO DAS RELACOES EXTERIORES,"277740,8700","229155,4500","229155,4500"
18016,MINISTÉRIO DA EDUCAÇÃO,"430714,1800","429682,1000","429157,0400"
18017,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","4000,0000","914,5000","914,5000"
18018,AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,"281996,8500","342065,8800","342065,8800"
18019,COMANDO DO EXERCITO,"-565,0200","2602,9800","2602,9800"
18020,COMANDO DA MARINHA,"3226,5000","3226,5000","3226,5000"
18021,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"156929,6300","31058,3700","31058,3700"
18022,FUNDO NACIONAL DE SAUDE,"5475684,1100","5788656,3700","5765954,3500"
18024,COMPANHIA NACIONAL DE ABASTECIMENTO,"2178,0000","2178,0000","2178,0000"
18025,MINISTERIO DAS RELACOES EXTERIORES,"84526,3500","82983,4900","82983,4900"
