,NOME MUNICÍPIO
SAO GOTARDO,8502
PARANAIBA,8496
PONTA DE PEDRAS,8492
SALVATERRA,8491
ITACARE,8486
MURICI,8480
PAICANDU,8470
CORACAO DE JESUS,8469
BERURI,8462
BARRA VELHA,8455
ANAGE,8451
ITABIRITO,8438
VARZEA DA PALMA,8432
FARROUPILHA,8420
IGUAPE,8420
AGRESTINA,8413
ELDORADO DO SUL,8407
SITIO NOVO,8406
RIACHAO DAS NEVES,8405
JUNQUEIRO,8397
ASSARE,8390
COLNIZA,8386
SAO JOAO DOS PATOS,8386
MATEUS LEME,8373
VASSOURAS,8372
TEODORO SAMPAIO,8371
ALCOBACA,8364
SAO JOAO DA PONTE,8357
JACAREZINHO,8355
URUCUCA,8348
CACHOEIRA DO PIRIA,8347
TANHACU,8346
SANTO ANTONIO,8345
CONCORDIA,8345
ITAPARICA,8335
TUPANATINGA,8329
ANCHIETA,8323
TORRES,8318
ILHA DE ITAMARACA,8303
CAETE,8298
IGUAI,8297
IUNA,8285
JUCAS,8282
SAO LUIS DE MONTES BELOS,8281
CORNELIO PROCOPIO,8279
DOM PEDRO,8267
PAU DOS FERROS,8265
INDAIAL,8227
GUARANTA DO NORTE,8224
IBIAPINA,8218
MEDIANEIRA,8213
SOURE,8203
CASTELO,8198
BURITIRAMA,8196
PITANGUEIRAS,8191
VARGEM GRANDE DO SUL,8186
ARCOS,8162
CONCEICAO DA BARRA,8160
LAGUNA,8141
TERRA NOVA,8126
CHA GRANDE,8120
ULIANOPOLIS,8118
CARANGOLA,8118
FORMOSA DO RIO PRETO,8114
OROS,8100
SAO JOAO DE PIRABAS,8095
GUANHAES,8093
OLIVEIRA,8091
URUBURETAMA,8090
CAREIRO DA VARZEA,8078
POCO VERDE,8068
JATOBA,8065
PATY DO ALFERES,8063
PAO DE ACUCAR,8062
SAO JOAQUIM DA BARRA,8058
ITATIRA,8052
GOIATUBA,8049
MATOZINHOS,8040
BELO ORIENTE,8033
SAO DOMINGOS DO ARAGUAIA,8026
MELGACO,8022
RIACHAO,8012
CAMACAN,8012
BANANEIRAS,8012
PRESIDENTE MEDICI,8004
GOIANINHA,7995
AREIA,7986
MIRADOR,7980
ILHABELA,7979
GUAIUBA,7967
ANDRADAS,7951
BAIXO GUANDU,7946
BURITI BRAVO,7946
IBICARAI,7945
CRISOPOLIS,7941
MARIALVA,7933
ITAPISSUMA,7919
CANAPI,7907
ALEXANIA,7906
LARANJEIRAS,7902
ITAQUI,7898
CHOROZINHO,7896
SANTA CRUZ DO RIO PARDO,7891
PEDERNEIRAS,7890
MACHADO,7886
GAMELEIRA,7883
ESPIGAO D'OESTE,7882
DOM PEDRITO,7882
SENADOR GUIOMARD,7874
SENADOR POMPEU,7873
ALEGRE,7864
JUARA,7853
OLIVEIRA DOS BREJINHOS,7850
CANDEIAS DO JAMARI,7844
PONTAL DO PARANA,7841
MARACAJU,7837
VALENTE,7834
RIO TINTO,7832
AMELIA RODRIGUES,7822
MARI,7820
SAO LOURENCO DO SUL,7818
ALDEIAS ALTAS,7813
SAO GABRIEL DA PALHA,7811
BIRITIBA-MIRIM,7808
BELEM DE SAO FRANCISCO,7800
BOCA DA MATA,7788
CANHOTINHO,7786
IGREJA NOVA,7768
ALTINHO,7765
IBATIBA,7764
NOVA MAMORE,7762
JUREMA,7762
PARAIBANO,7758
ITINGA DO MARANHAO,7757
MARECHAL CANDIDO RONDON,7754
PIO XII,7753
BURITI DOS LOPES,7753
CAROLINA,7752
TRAIPU,7749
SANTO ANTONIO DA PATRULHA,7749
BARRA DO BUGRES,7744
SAO JOAQUIM DO MONTE,7740
PONTAL,7737
COREAU,7737
LOUVEIRA,7733
IGUABA GRANDE,7733
GUACUI,7724
PORTO REAL DO COLEGIO,7719
SAO JOAQUIM DE BICAS,7713
JUATUBA,7708
MACAPARANA,7693
ITAPURANGA,7682
ALHANDRA,7678
SANTA LUZIA DO PARUA,7675
ITAPERUCU,7674
ARACOIABA DA SERRA,7670
PAULISTANA,7666
MOJUI DOS CAMPOS,7665
CANDIDO MENDES,7659
DRACENA,7658
PALMAS DE MONTE ALTO,7657
BRUMADINHO,7643
MUTUIPE,7639
OUREM,7635
TAMANDARE,7630
PIMENTA BUENO,7622
SAO FELIPE,7613
TIJUCAS,7608
DOIS VIZINHOS,7607
URUCUI,7594
MONTE ALTO,7577
SANTA BARBARA DO PARA,7561
INHAPIM,7559
FORQUILHA,7544
ITURAMA,7544
BARRO ALTO,7539
ARARIPE,7536
RAFAEL JAMBEIRO,7532
PIRITIBA,7531
EXTREMA,7524
AMAPA,7514
MUTUM,7509
MIMOSO DO SUL,7502
MIRANDA,7502
CARIRA,7501
ICAPUI,7497
RIO PARDO,7496
BRASIL NOVO,7490
BEQUIMAO,7486
PAULO RAMOS,7469
BELA VISTA DE GOIAS,7466
QUEDAS DO IGUACU,7465
CODAJAS,7464
ESTANCIA VELHA,7460
ALEM PARAIBA,7454
FLORES,7453
JARINU,7445
SAO LUIS GONZAGA DO MARANHAO,7444
RIO BRILHANTE,7443
MATA GRANDE,7437
NEROPOLIS,7436
CUITE,7436
OROBO,7429
BELMONTE,7427
JAGUARIPE,7414
GUARAREMA,7407
POMPEU,7405
FONTE BOA,7399
BAGRE,7398
NHAMUNDA,7392
MATRIZ DE CAMARAGIBE,7383
MARAVILHA,7382
CANTO DO BURITI,7380
FLORESTA DO ARAGUAIA,7377
NOVA SANTA RITA,7377
JIJOCA DE JERICOACOARA,7376
MINACU,7359
PADRE BERNARDO,7358
PALMEIRA DAS MISSOES,7356
GUARIBA,7353
PEDREIRA,7352
PALMEIRANDIA,7347
TEOFILANDIA,7344
SANTA TEREZINHA,7336
TACARATU,7335
CACHOEIRA PAULISTA,7334
SAO MIGUEL,7333
ENCRUZILHADA,7329
CAMPESTRE,7325
BARRO,7322
AROEIRAS,7322
JAGUARIAIVA,7308
RIACHAO DO DANTAS,7295
CARACARAI,7288
CACAPAVA DO SUL,7273
VISCONDE DO RIO BRANCO,7271
PEDRA AZUL,7267
IATI,7259
ESPERA FELIZ,7252
COARACI,7247
JOSE BONIFACIO,7229
MEDEIROS NETO,7226
CAAPORA,7226
CURITIBANOS,7226
QUITERIANOPOLIS,7222
CAFARNAUM,7220
IRACEMA,7215
VERTENTES,7213
LARANJEIRAS DO SUL,7209
MINAS NOVAS,7209
APICUM-ACU,7208
CAJATI,7197
QUIPAPA,7185
SANHARO,7185
PALMEIRAS DE GOIAS,7176
SANTA RITA DO SAPUCAI,7171
CERQUILHO,7163
BREJINHO,7163
MATA ROMA,7162
SARZEDO,7153
MIRACEMA,7143
MANTENA,7141
TURILANDIA,7140
MULUNGU,7138
UBAIRA,7137
CIPO,7133
PALMEIRA,7126
CURIONOPOLIS,7126
CASTELO DO PIAUI,7122
CONCEICAO DA FEIRA,7111
PRESIDENTE SARNEY,7108
PIUMHI,7095
ITATIAIA,7094
PIRENOPOLIS,7081
IBITITA,7079
ITAMBACURI,7067
IBIRATAIA,7059
JOAQUIM GOMES,7053
AGUDOS,7051
PROMISSAO,7046
GUARATINGA,7033
CARIDADE,7033
PRATA,7032
SANTA FILOMENA,7031
PIACABUCU,7030
MANCIO LIMA,7027
SAO MANUEL,7026
CACHOEIRA DO ARARI,7021
SALGADO,7019
AFRANIO,7011
ITANHEM,7000
ITUVERAVA,6999
FRANCISCO SA,6993
TEJUCUOCA,6993
SAO JOSE DE PIRANHAS,6981
LAGOA DA CANOA,6974
MORROS,6957
SIMONESIA,6955
IBIRAPITANGA,6955
MAJOR ISIDORO,6954
TRIZIDELA DO VALE,6953
AMARAJI,6946
OLHO D'AGUA DAS CUNHAS,6938
BOA VISTA DO TUPIM,6937
XANXERE,6935
ABARE,6932
SAO CAETANO DE ODIVELAS,6931
PLACAS,6926
PENHA,6922
VARZELANDIA,6919
CAMOCIM DE SAO FELIX,6918
AIMORES,6912
SENADOR JOSE PORFIRIO,6910
JUTAI,6908
MANARI,6908
ELDORADO,6905
ECOPORANGA,6897
AGUAI,6896
ITAPOLIS,6895
ITAJUIPE,6892
ITUACU,6887
UNA,6886
BOM SUCESSO,6886
BURITIZEIRO,6885
GOVERNADOR MANGABEIRA,6884
ARAQUARI,6882
CARAVELAS,6878
CORONEL JOAO SA,6870
CROATA,6868
CAJARI,6868
PIO IX,6865
PONTO NOVO,6859
ALTA FLORESTA D'OESTE,6857
LAJINHA,6857
MIGUEL PEREIRA,6849
IMBITUVA,6839
MIRASSOL D'OESTE,6831
AQUIDABA,6828
BONFIM,6827
VALENCA DO PIAUI,6822
CARMO DO PARANAIBA,6821
SAO JOSE DA LAJE,6820
ITAPIUNA,6819
GOIOERE,6804
PINDOBACU,6784
RIO FORMOSO,6782
BAIXA GRANDE,6781
BELTERRA,6776
CAMPO NOVO DO PARECIS,6768
MASSARANDUBA,6766
BARRINHA,6766
IPERO,6765
IBATE,6763
BOQUIRA,6758
JAGUARETAMA,6755
MIRANDA DO NORTE,6750
OUROLANDIA,6736
OLHO D'AGUA DAS FLORES,6723
CONCEICAO,6715
PIRACAIA,6714
SAO SIMAO,6713
RESERVA,6712
JAICOS,6712
COCOS,6711
PIRES DO RIO,6710
PICUI,6708
ESPIRITO SANTO DO PINHAL,6707
UMIRIM,6707
PORTO FRANCO,6704
REGENERACAO,6698
SAPUCAIA,6697
SOORETAMA,6697
SAO BENEDITO DO RIO PRETO,6696
ANAPURUS,6691
MONTE AZUL,6690
IVAIPORA,6687
CAPOEIRAS,6677
PRESIDENTE VENCESLAU,6671
CAPISTRANO,6670
BOQUEIRAO,6669
JATAUBA,6660
SAO LUIZ GONZAGA,6658
APIAI,6652
SAO MIGUEL DO ARAGUAIA,6642
SAO JOAO DO PIAUI,6639
FARIAS BRITO,6637
MANHUMIRIM,6633
COLONIA LEOPOLDINA,6632
SAPEACU,6631
JEQUITINHONHA,6631
CRISTINAPOLIS,6629
CACULE,6627
SAO JOSE DO NORTE,6627
LAGOA DO ITAENGA,6622
BIRITINGA,6622
PRINCESA ISABEL,6602
SOUTO SOARES,6600
PORTO ACRE,6599
BELO CAMPO,6599
MAIRI,6595
PILAR DO SUL,6580
COLIDER,6568
IBAITI,6567
AGUAS FORMOSAS,6563
PASTOS BONS,6561
CUNHA,6558
NOVO ARIPUANA,6550
COROMANDEL,6550
SERRITA,6541
MANAQUIRI,6540
GUARAI,6526
ASSIS CHATEAUBRIAND,6521
PARAMIRIM,6499
BARRA BONITA,6491
CAPAO DO LEAO,6482
CANTANHEDE,6481
PEDRO CANARIO,6481
BARRA DE SANTO ANTONIO,6477
TAQUARANA,6475
PACARAIMA,6474
RIO NEGRO,6462
PINHEIROS,6458
TANGARA,6458
SILVA JARDIM,6458
PAULINO NEVES,6455
DIVINO,6450
INGA,6449
TURURU,6446
ITAPOROROCA,6445
VENTUROSA,6444
REMIGIO,6442
AMARANTE,6441
CHAVES,6436
CRAVINHOS,6430
IPIXUNA,6425
UTINGA,6425
TERRA SANTA,6425
CAMPO MAGRO,6422
JAGUARAO,6420
PASSAGEM FRANCA,6419
OURO FINO,6417
SAO MIGUEL DO TAPUIO,6416
ESPERANTINOPOLIS,6407
COCALZINHO DE GOIAS,6407
ORTIGUEIRA,6406
CARIRE,6405
CANUDOS,6397
APORA,6395
PADRE PARAISO,6387
SALITRE,6384
SAO JOSE DA COROA GRANDE,6373
QUIXERE,6371
OROCO,6367
CARNAIBA,6364
MARACACUME,6358
GUARAMIRIM,6354
TUPACIGUARA,6346
CAIRU,6346
MUCAJAI,6344
PORTO GRANDE,6342
MONSENHOR TABOSA,6332
ALAGOA NOVA,6323
SAO JOAO DO SOTER,6322
CONCHAL,6321
BARAO DE GRAJAU,6319
TREMEDAL,6311
ORLANDIA,6308
SALINAS DA MARGARIDA,6307
FORMOSA DA SERRA NEGRA,6307
PIRAI,6300
URUCURITUBA,6297
CARAI,6295
RERIUTABA,6295
TOCANTINOPOLIS,6291
CAJUEIRO,6281
CRUZ DO ESPIRITO SANTO,6279
PORTAO,6277
SAO FRANCISCO DO PARA,6276
MANDIRITUBA,6274
BACURI,6270
JUCURUTU,6262
TIETE,6257
TAVARES,6252
CONSELHEIRO PENA,6248
CABACEIRAS DO PARAGUACU,6245
ALTO ALEGRE,6233
QUISSAMA,6232
BELA VISTA,6227
PIATA,6223
BOM JESUS DO TOCANTINS,6218
SERRA DOURADA,6215
MANDAGUARI,6213
NATIVIDADE,6209
JACIARA,6203
CUMARU,6202
PARELHAS,6200
POCAO DE PEDRAS,6183
PIRAPEMAS,6173
EPITACIOLANDIA,6160
ANASTACIO,6156
SANTA FE DO SUL,6153
INHAPI,6147
MADRE DE DEUS,6146
SANTANA DO CARIRI,6145
ARACAGI,6145
PITIMBU,6143
CAMPOS GERAIS,6130
IPAMERI,6126
CORRENTES,6104
PIUMA,6104
POCINHOS,6099
IBICOARA,6099
CONCEICAO DE MACABU,6098
MONTE ALEGRE DE SERGIPE,6081
CANDIDO MOTA,6075
CARIUS,6071
TRES MARIAS,6063
GRAMADO,6059
PIRACANJUBA,6055
GAROPABA,6053
CORINTO,6053
CAARAPO,6050
MADALENA,6040
TAPEJARA,6033
BARROQUINHA,6030
RAUL SOARES,6026
TANQUE NOVO,6024
MIRACATU,6024
SANTA VITORIA DO PALMAR,6024
RANCHARIA,6022
MIRANGABA,6021
IBIPEBA,6021
SAO PAULO DO POTENGI,6021
MEDINA,6021
AMERICO BRASILIENSE,6021
VIDEIRA,6015
SANTA CECILIA,6011
MANGA,6010
JANDAIRA,6008
SANTA MARIA DAS BARREIRAS,6005
MATIPO,6004
SOMBRIO,5998
TAPAUA,5986
SUME,5973
CAMPO DO BRITO,5961
UBAITABA,5956
BARCELOS,5953
ITORORO,5937
PITANGUI,5935
RIO NEGRINHO,5930
CAMBUI,5921
GONCALVES DIAS,5921
CHARQUEADAS,5914
ESTRELA DE ALAGOAS,5914
SANTO ANTONIO DO MONTE,5907
SANTA MARGARIDA,5904
ADUSTINA,5891
RIBEIRA DO AMPARO,5889
JUAZEIRINHO,5885
IMBE,5881
CONDEUBA,5880
PAUINI,5871
NEPOMUCENO,5868
VARJOTA,5861
CACIMBA DE DENTRO,5860
SAO JOAO DO RIO DO PEIXE,5855
ALTO PARAISO,5837
CEDRAL,5835
PANAMBI,5834
CAFELANDIA,5831
CENTRO NOVO DO MARANHAO,5829
BANABUIU,5814
CONCEICAO DO ALMEIDA,5806
TONANTINS,5806
SERRA PRETA,5805
NOVA ESPERANCA,5803
FREI MIGUELINHO,5794
ITAOCARA,5791
MARECHAL THAUMATURGO,5791
PIRAJU,5784
LAGOA DO CARRO,5784
MORRO AGUDO,5775
SAO MIGUEL DO GUAPORE,5773
BOA NOVA,5769
FORTUNA,5767
NEOPOLIS,5765
PINHALZINHO,5760
CANTA,5756
SANTA MARIA DO CAMBUCA,5755
RIO MARIA,5752
BARAO DE COCAIS,5748
TURMALINA,5743
MONTANHA,5734
CAMPOS BELOS,5726
PORTO UNIAO,5725
RIBEIROPOLIS,5720
AMERICA DOURADA,5716
CANAPOLIS,5708
JAPARATUBA,5704
QUIXELO,5699
INDIAROBA,5697
BOA VISTA DO RAMOS,5695
IGREJINHA,5692
SATIRO DIAS,5681
ITAETE,5672
ITAPOA,5670
PORTEIRAS,5666
UIBAI,5660
COREMAS,5658
JACARAU,5655
AGUA FRIA,5655
XAPURI,5651
MONTE SIAO,5650
CONCEICAO DAS ALAGOAS,5648
MARAA,5648
IPANEMA,5648
FORTIM,5647
BARIRI,5645
ENVIRA,5643
ITAI,5643
JACAREACANGA,5637
ITATIM,5637
JUPI,5635
TEIXEIRA,5633
BOM JESUS DOS PERDOES,5630
MACARANI,5629
LAGOA NOVA,5628
MALHADA,5625
URUCARA,5622
ENCRUZILHADA DO SUL,5619
PIRAI DO SUL,5617
SAO JOSE DA LAPA,5617
PARAOPEBA,5615
SAO FRANCISCO DE PAULA,5611
TANABI,5604
ACAJUTIBA,5601
CARANDAI,5600
DEMERVAL LOBAO,5593
CENTRAL,5592
LAGOA DOS GATOS,5588
CARNAUBAL,5582
MANOEL VITORINO,5580
RIACHUELO,5578
GOVERNADOR EDISON LOBAO,5567
SAO RAIMUNDO DAS MANGABEIRAS,5558
JAPOATA,5556
ITAOBIM,5555
JOAQUIM PIRES,5538
TAQUARITUBA,5537
ERVALIA,5532
CANDELARIA,5523
ARIPUANA,5522
CORIBE,5519
CERRO AZUL,5517
SUMIDOURO,5507
UBATA,5502
TRAIRAO,5498
GUARARAPES,5495
RIBEIRAO BRANCO,5483
GLORIA,5482
TURVO,5478
SAO MIGUEL DO IGUACU,5475
ARINOS,5473
ELOI MENDES,5472
CARACOL,5467
APARECIDA DO TABOADO,5460
JIQUIRICA,5455
CARLOS CHAGAS,5453
CONCEICAO DO MATO DENTRO,5450
SERRA NEGRA,5450
FORMOSO DO ARAGUAIA,5450
CAMPOS NOVOS,5446
JOSELANDIA,5443
SALOA,5435
SANTA BRIGIDA,5434
PINHEIRAL,5430
PANCAS,5418
TEOLANDIA,5416
BURI,5415
MIRINZAL,5413
MARUIM,5408
JITAUNA,5405
ANORI,5396
RODRIGUES ALVES,5394
VENDA NOVA DO IMIGRANTE,5383
LAGO VERDE,5381
ARAGARCAS,5377
ARAPOTI,5375
BARROCAS,5374
MIRACEMA DO TOCANTINS,5372
SANTA CRUZ DAS PALMEIRAS,5372
BUERAREMA,5369
OSVALDO CRUZ,5368
ITARANTIM,5367
SENADOR LA ROCQUE,5366
NOVA CANAA,5363
PRESIDENTE JUSCELINO,5363
ALVARES MACHADO,5362
LAMBARI,5356
RIO DAS PEDRAS,5354
SAUBARA,5345
AIUABA,5344
ADAMANTINA,5343
FRAIBURGO,5342
SATUBA,5341
SAO JOAO DO ARAGUAIA,5331
CAMANDUCAIA,5330
SAO JOAO NEPOMUCENO,5320
ANDORINHA,5319
BACABEIRA,5317
INHUMA,5317
NOVA OLINDA DO MARANHAO,5315
MALACACHETA,5313
CONCEICAO DO LAGO-ACU,5312
APUIARES,5304
CALDEIRAO GRANDE,5299
PE DE SERRA,5294
SAO JOSE DO VALE DO RIO PRETO,5290
BATAGUASSU,5288
MULUNGU DO MORRO,5285
OLINDA NOVA DO MARANHAO,5284
IVINHEMA,5279
SAO GABRIEL DO OESTE,5279
BARRA DE SAO MIGUEL,5273
SANTA TERESA,5263
AUGUSTINOPOLIS,5262
GUAJARA,5261
ARACATU,5261
CLAUDIO,5258
CURUA,5255
JACUTINGA,5253
COSTA RICA,5251
URANDI,5248
JARDIM DE PIRANHAS,5246
MUNIZ FREIRE,5241
PALOTINA,5240
ALVARAES,5238
ANGICAL,5236
CHAPADA DOS GUIMARAES,5235
BAIANOPOLIS,5230
ANDARAI,5217
BARRA DO MENDES,5214
PEREIRO,5213
GRACA,5211
JENIPAPO DOS VIEIRAS,5207
DESCALVADO,5203
RIO BANANAL,5203
SAO PEDRO DO PIAUI,5199
ASTORGA,5197
SERRO,5196
ANADIA,5190
IGAPORA,5187
CUJUBIM,5186
NOVA XAVANTINA,5184
GOVERNADOR EUGENIO BARROS,5183
NOVO AIRAO,5178
BARROSO,5176
DOIS CORREGOS,5175
ARAGUANA,5174
VARZEA DA ROCA,5173
UMBURANAS,5171
GUAPO,5171
ABAETE,5171
JOAQUIM NABUCO,5170
CASINHAS,5170
SANTA LUZIA DO ITANHY,5164
FREI PAULO,5160
MUZAMBINHO,5158
MANDAGUACU,5158
RIO DO ANTONIO,5155
BALNEARIO PICARRAS,5151
MARTINOPOLIS,5148
TIBAGI,5148
CAPELA DO ALTO,5143
GUAPIARA,5143
TAPIRAMUTA,5139
IBICUI,5135
CAJURU,5128
MOGEIRO,5125
ANTONINA,5124
SOLONOPOLE,5118
PINDAI,5110
SANTA TERESINHA,5110
CAMBARA,5110
NOVA OLIMPIA,5108
TERRA ROXA,5108
SABOEIRO,5107
QUARAI,5106
NOVA TIMBOTEUA,5106
ACARAPE,5101
BRODOWSKI,5098
PRIMEIRA CRUZ,5097
VARZEA NOVA,5095
VITORIA DO JARI,5090
PEDRO ALEXANDRE,5089
MAGALHAES DE ALMEIDA,5089
ITAPETIM,5082
PIQUET CARNEIRO,5079
WENCESLAU BRAZ,5077
PEREIRA BARRETO,5070
BARRA DE SANTA ROSA,5063
SAO FELIX DO CORIBE,5057
PARANATAMA,5054
FRECHEIRINHA,5051
PALMEIRAIS,5049
ALTO LONGA,5048
URUOCA,5042
BOM JESUS DE GOIAS,5042
PEDRA PRETA,5041
BOM JESUS DO GALHO,5025
SANTA TEREZINHA DE ITAIPU,5021
IBATEGUARA,5020
ROSARIO OESTE,5010
IBITIARA,5009
ITAPACI,5008
AGUA AZUL DO NORTE,5003
PRESIDENTE KENNEDY,4993
POTIM,4993
PIANCO,4993
ANICUNS,4987
PORTO BELO,4987
MIRANDIBA,4985
IGARACU DO TIETE,4985
ALTO SANTO,4983
ITAGIBA,4981
ITAGI,4976
LARANJAL PAULISTA,4973
PARANA,4970
NOVA BRASILANDIA D'OESTE,4969
SANTO ANTONIO DOS LOPES,4968
SAO GONCALO DO SAPUCAI,4960
TIBAU DO SUL,4958
TACAIMBO,4958
PLACIDO DE CASTRO,4954
DORMENTES,4953
LAGOA VERMELHA,4952
CHAPADAO DO SUL,4950
ITACARAMBI,4948
COTEGIPE,4948
CRISTOPOLIS,4948
TOMAR DO GERU,4946
BOMBINHAS,4946
TERRA ALTA,4945
BREJO DO CRUZ,4945
SERRANO DO MARANHAO,4942
CHAVAL,4942
TUPANCIRETA,4941
IBARETAMA,4935
SAO JERONIMO,4935
VARGEM ALTA,4932
POCO DAS TRINCHEIRAS,4930
ITABERA,4929
SAO MIGUEL DO OESTE,4919
CASA BRANCA,4917
SAO TOME,4914
RUBIATABA,4913
JABORANDI,4912
ACREUNA,4911
MILHA,4900
RETIROLANDIA,4900
VILA RICA,4899
FATIMA DO SUL,4896
ACRELANDIA,4892
NILO PECANHA,4891
TAGUATINGA,4888
CARMOPOLIS,4887
CIDELANDIA,4884
SILVANIA,4881
SITIO DO QUINTO,4881
CERES,4878
GUAMARE,4877
SANTO ANTONIO DO LEVERGER,4876
CAXAMBU,4874
CANUTAMA,4873
PECANHA,4864
JOAIMA,4861
GURINHEM,4852
JUQUIA,4851
NOVA FATIMA,4850
ANGATUBA,4845
NAZARE PAULISTA,4844
BONINAL,4832
DIANOPOLIS,4831
UBIRATA,4831
IBIPITANGA,4830
BUENOS AIRES,4826
ARATUBA,4824
JABOTICATUBAS,4821
NOVA ALVORADA DO SUL,4820
FORTALEZA DOS NOGUEIRAS,4820
PARANATINGA,4815
LADAINHA,4810
SERROLANDIA,4800
CAETANOS,4800
RIO BONITO DO IGUACU,4792
CORONEL SAPUCAIA,4791
FREDERICO WESTPHALEN,4786
MESSIAS,4781
PARIPUEIRA,4777
PONTALINA,4776
IRUPI,4775
SIMOES,4775
APUI,4773
MONTALVANIA,4773
IBICUITINGA,4772
ARACARIGUAMA,4765
ITAQUITINGA,4764
COMODORO,4760
MANTENOPOLIS,4760
AGUA DOCE DO MARANHAO,4759
COLARES,4757
SITIO DO MATO,4752
ITAPIRANGA,4751
PIRAPOZINHO,4751
PIRAPORA DO BOM JESUS,4748
MORRETES,4742
AVELINO LOPES,4742
AURELINO LEAL,4740
CRUZ MACHADO,4733
QUATIPURU,4731
CORTES,4727
MALHADOR,4722
MERUOCA,4720
PEDRO VELHO,4720
SAO SEPE,4718
COLORADO,4715
ILHA SOLTEIRA,4710
BAEPENDI,4708
BURITIRANA,4706
XEXEU,4706
SAO LUIS DO CURU,4699
BORBOREMA,4697
LAGOA DO OURO,4693
SANTO AMARO DO MARANHAO,4692
ENGENHEIRO COELHO,4692
SAO JOAO EVANGELISTA,4688
SAO FRANCISCO DO GUAPORE,4683
IBIA,4680
CANDIBA,4678
SENADOR RUI PALMEIRA,4670
ALPINOPOLIS,4670
RIO VERDE DE MATO GROSSO,4667
JACARACI,4665
IGARAPAVA,4665
SANTA ROSA DE VITERBO,4664
MONTE APRAZIVEL,4664
BUTIA,4657
IPECAETA,4655
ITAQUIRAI,4646
QUERENCIA,4632
SAO FRANCISCO DO MARANHAO,4629
MONTE ALEGRE DE MINAS,4627
GARARU,4627
TIMBO,4625
CORDEIRO,4622
FUNDAO,4620
TRACUNHAEM,4620
ARROIO GRANDE,4619
LUCENA,4615
PORCIUNCULA,4612
ITAGUACU DA BAHIA,4611
PRESIDENTE JANIO QUADROS,4611
LADARIO,4610
AVEIRO,4607
DAVINOPOLIS,4601
RESPLENDOR,4601
PERI MIRIM,4599
VILA VALERIO,4589
QUITANDINHA,4586
CHA DE ALEGRIA,4577
CARMO DO RIO CLARO,4575
PORTO,4575
ITAIPAVA DO GRAJAU,4573
BAMBUI,4566
NOVA IPIXUNA,4565
SAPEZAL,4552
SERRA BRANCA,4552
PARIQUERA-ACU,4547
QUEBRANGULO,4546
BREJOES,4543
RIO DE CONTAS,4540
IGARAPE DO MEIO,4539
UIRAUNA,4536
CRUZEIRO DO OESTE,4534
TIJUCAS DO SUL,4533
NORDESTINA,4531
HELIOPOLIS,4527
SACRAMENTO,4519
PUXINANA,4519
CASSILANDIA,4510
PORTO REAL,4510
DIAMANTINO,4509
AGUA DOCE DO NORTE,4502
WANDERLEY,4502
IGRAPIUNA,4499
BOM LUGAR,4498
CAPITAO DE CAMPOS,4498
MIRANDOPOLIS,4496
IPANGUACU,4493
SANTANA DO MATOS,4491
UPANEMA,4490
POXOREO,4487
TARTARUGALZINHO,4484
SAO JOAQUIM,4482
GENERAL CARNEIRO,4481
GUIMARAES,4475
CARNAUBEIRA DA PENHA,4474
OLIVENCA,4466
POCO BRANCO,4462
FAXINAL,4461
CARMO,4459
ALEXANDRIA,4452
MIRAIMA,4447
NOVA VENEZA,4442
BARRA DE GUABIRABA,4439
LOANDA,4439
ITINGA,4432
BANZAE,4430
ITAPECERICA,4430
PASSA E FICA,4429
MOREILANDIA,4429
POTE,4427
SANTO ANTONIO DE POSSE,4427
POCAO,4426
ANTAS,4419
SANTO AMARO DA IMPERATRIZ,4419
MUQUEM DE SAO FRANCISCO,4416
MARIBONDO,4414
TAQUARI,4413
ELESBAO VELOSO,4412
MASCOTE,4406
RIBAS DO RIO PARDO,4406
BETANIA,4401
CARMO DO CAJURU,4397
SERRA DO MEL,4397
SALESOPOLIS,4396
MIGUELOPOLIS,4391
ASSIS BRASIL,4379
PORANGA,4376
ROSANA,4374
ARES,4369
SIMPLICIO MENDES,4369
PASSO DE CAMARAGIBE,4368
COSTA MARQUES,4365
ANDIRA,4363
MARTINOPOLE,4359
LAGOA REAL,4348
ABADIA DE GOIAS,4345
MATO VERDE,4341
AGUAS VERMELHAS,4337
IGUARACI,4337
AXIXA DO TOCANTINS,4335
IPABA,4330
CACONDE,4327
IPAUMIRIM,4326
MUCAMBO,4323
PATU,4320
RIO DO FOGO,4317
GOIANAPOLIS,4307
SANTA RITA DO PASSA QUATRO,4306
TAIPU,4303
ATALEIA,4302
SAO JOAO DO CARU,4302
DOM BASILIO,4293
CASTILHO,4292
BRACO DO NORTE,4291
CARAMBEI,4289
PARAMOTI,4288
QUATRO BARRAS,4287
ARACAS,4285
NOBRES,4285
PICARRA,4284
SANTO ANTONIO DO AMPARO,4283
SANTA ISABEL DO RIO NEGRO,4271
GOVERNADOR DIX-SEPT ROSADO,4266
PARAGUACU,4261
SAO SEBASTIAO DO CAI,4257
URUANA,4253
LAGOA GRANDE DO MARANHAO,4252
FORMOSO,4250
FORQUILHINHA,4248
SANTA VITORIA,4246
MACHADOS,4246
SANTO AMARO DAS BROTAS,4246
MONTE SANTO DE MINAS,4240
CAMBUCI,4235
SAIRE,4234
PARAISOPOLIS,4233
SAO JOAO DO MANHUACU,4233
VITORIA DO XINGU,4227
ILHA COMPRIDA,4225
