,NOME MUNICÍPIO
GRAVATA,28716
TIANGUA,28495
BAYEUX,28277
PONTA PORA,28271
VERA CRUZ,28232
PINHEIRO,28168
MOJU,27823
GUANAMBI,27720
CAPANEMA,27709
QUIXADA,27654
POUSO ALEGRE,27499
PATOS DE MINAS,27464
MOGI GUACU,27449
VICOSA,27264
BAGE,27106
VESPASIANO,26951
BALSAS,26888
SABARA,26874
FAZENDA RIO GRANDE,26730
PLANALTINA,26708
RIO LARGO,26673
SAO PEDRO DA ALDEIA,26648
CAMPO FORMOSO,26622
AQUIRAZ,26554
JACOBINA,26552
BARRA DO CORDA,26532
URUGUAIANA,26384
CANINDE,26372
CORUMBA,26326
POA,26294
SAPUCAIA DO SUL,26218
GOIANA,26130
TRES LAGOAS,26072
UBATUBA,26017
SAO CRISTOVAO,25929
SANTANA DE PARNAIBA,25861
SERRA TALHADA,25796
ARIQUEMES,25723
IGARAPE-MIRI,25706
PINHAIS,25552
BELO JARDIM,25483
COLATINA,25480
PACATUBA,25427
CUBATAO,25398
RESENDE,25321
APUCARANA,25190
SEROPEDICA,25183
BARBACENA,25132
ARAGUARI,25035
JANDIRA,24995
TAILANDIA,24958
SAO BENTO,24948
ITAPEVA,24930
COARI,24918
BALNEARIO CAMBORIU,24892
PICOS,24879
BOTUCATU,24874
CASA NOVA,24853
CEARA-MIRIM,24848
CACERES,24759
ALMIRANTE TAMANDARE,24722
SENHOR DO BONFIM,24438
SERTAOZINHO,24409
CARPINA,24361
GRAJAU,24311
CONCEICAO DO COITE,24265
TOLEDO,24263
BENEVIDES,24255
SAQUAREMA,24208
CRATEUS,24154
LUIS EDUARDO MAGALHAES,24152
TOME-ACU,24070
PIRAQUARA,23906
QUEIMADAS,23756
TATUI,23743
SARANDI,23677
ACARAU,23608
JAU,23596
VOTORANTIM,23595
BARREIRINHAS,23526
ACARA,23489
PALMEIRA DOS INDIOS,23420
CONSELHEIRO LAFAIETE,23381
GUARATINGUETA,23209
VARGINHA,23164
OURICURI,23164
DIAS D'AVILA,23160
NOVA SERRANA,23141
VICOSA DO CEARA,23095
ARACATI,23071
IRECE,23043
CAMPO LARGO,23036
MACAIBA,23024
NOVO GAMA,22973
ARARAS,22971
ICO,22917
ORIXIMINA,22784
PESQUEIRA,22674
ALENQUER,22665
ITAPERUNA,22643
IRANDUBA,22580
QUIXERAMOBIM,22521
CORONEL FABRICIANO,22396
CAMOCIM,22364
SOUSA,22321
SANTO AMARO,22178
MORADA NOVA,22148
SANTANA DO LIVRAMENTO,22139
JARAGUA DO SUL,22101
PASSOS,22078
JATAI,22075
TRAIRI,22057
VISEU,22021
PERUIBE,22020
EUCLIDES DA CUNHA,21902
LAVRAS,21824
IBIUNA,21809
ARACRUZ,21785
TEFE,21783
MURIAE,21776
BARRETOS,21766
PACAJUS,21689
SURUBIM,21584
ESTANCIA,21578
BEZERROS,21554
CALDAS NOVAS,21547
BIRIGUI,21530
ITUMBIARA,21491
ITAPECURU MIRIM,21459
ARCOVERDE,21401
SALTO,21346
CATALAO,21339
ESCADA,21330
UMUARAMA,21261
RUSSAS,21240
VARZEA PAULISTA,21203
BOM JESUS DA LAPA,21079
UNIAO DOS PALMARES,20918
RIBEIRAO PIRES,20881
SAO FELIX DO XINGU,20876
COROATA,20834
ITABIRA,20686
SANTA ISABEL DO PARA,20665
MAIRIPORA,20649
CAPITAO POCO,20638
TABATINGA,20628
ARUJA,20601
SAO FRANCISCO,20555
HORIZONTE,20518
MANHUACU,20432
ITAMARAJU,20381
SAO GABRIEL,20373
PIRIPIRI,20323
VILHENA,20271
CACOAL,20244
CATANDUVA,20235
PENEDO,20201
ARAPONGAS,20192
GURUPI,20178
NOVO REPARTIMENTO,20164
TUCANO,20136
BEBERIBE,20076
ESMERALDAS,20065
OURINHOS,20058
TANGARA DA SERRA,20046
ITUIUTABA,20035
CIDADE OCIDENTAL,20012
BARRA DO PIRAI,19988
TUTOIA,19961
ITABERABA,19920
CONDE,19875
ITAMBE,19867
CARATINGA,19759
CAMBE,19687
PALMARES,19599
JANUARIA,19580
MORENO,19553
CAJAZEIRAS,19543
BRUMADO,19521
IPIRA,19519
SAO MIGUEL DO GUAMA,19513
CAJAMAR,19488
ARAXA,19486
ITAJUBA,19365
GRANJA,19362
PORTEL,19350
CAMPO MOURAO,19335
UNAI,19326
BARBALHA,19280
SAO JOAO DEL REI,19242
PARACATU,19208
MONTE SANTO,19055
UBA,19050
TRES RIOS,19028
SAO CAETANO DO SUL,19027
MAUES,18933
ARACI,18884
PAUDALHO,18861
LIMOEIRO,18811
SANTA HELENA,18779
ITATIBA,18773
SORRISO,18746
RIBEIRA DO POMBAL,18704
BARRA,18662
VIGIA,18623
LEME,18603
SANTA CRUZ DO SUL,18602
SALGUEIRO,18602
CAMBORIU,18601
PRESIDENTE DUTRA,18583
CACAPAVA,18569
ASSIS,18468
BARRAS,18425
SANTA CRUZ,18390
BRUSQUE,18364
XIQUE-XIQUE,18355
EMBU-GUACU,18342
CRUZ DAS ALMAS,18322
BUIQUE,18291
CAIEIRAS,18238
GUAIBA,18219
BURITICUPU,18139
BREJO DA MADRE DE DEUS,18087
PAULINIA,18026
AUGUSTO CORREA,17993
LIMOEIRO DO NORTE,17957
TOBIAS BARRETO,17957
MORRINHOS,17951
ACU,17930
BARRA DO GARCAS,17922
SANTO ANTONIO DO DESCOBERTO,17909
HUMAITA,17906
SAPE,17839
PARANAVAI,17770
OBIDOS,17734
BURITIS,17688
BOA VIAGEM,17673
AGUAS BELAS,17619
CURVELO,17617
MARECHAL DEODORO,17605
ACOPIARA,17595
LORENA,17516
CACHOEIRA DO SUL,17507
VALINHOS,17394
ITAPETINGA,17375
ESPERANTINA,17285
PATROCINIO,17281
CACHOEIRAS DE MACACU,17277
CAMPO LIMPO PAULISTA,17223
JANAUBA,17174
AVARE,17142
SIMAO DIAS,17142
CAICO,17126
POCOES,17069
CATU,16931
ALFENAS,16920
OURO PRETO,16862
MAURITI,16801
ARACOIABA,16731
BERTIOGA,16707
CAETITE,16661
DELMIRO GOUVEIA,16642
SAO FRANCISCO DE ITABAPOANA,16602
TAUA,16544
ITUPIRANGA,16540
NAVEGANTES,16535
BOM CONSELHO,16522
FLORIANO,16485
BATALHA,16476
GOIANIRA,16472
PACAJA,16460
PORTO NACIONAL,16440
SAO BENEDITO,16429
SAO MIGUEL DOS CAMPOS,16425
MARAGOGIPE,16424
MONGAGUA,16377
PARA DE MINAS,16370
BOM JESUS,16344
VOTUPORANGA,16341
ITAPAGE,16328
CABEDELO,16302
SANTA MARIA DA BOA VISTA,16197
GUARABIRA,16192
SANTANA DO IPANEMA,16187
JURUTI,16185
ITAREMA,16145
JARDIM,16137
CRUZEIRO,16058
CAMPO MAIOR,16053
GOIANESIA,16032
AGUA BRANCA,16010
CAPELA,15983
URUARA,15948
PILAR,15905
MATA DE SAO JOAO,15871
AUTAZES,15836
SEABRA,15823
CURUCA,15807
GUARACIABA DO NORTE,15804
CASTRO,15778
UNIAO,15769
TUBARAO,15743
ARAIOSES,15728
SAO ROQUE,15671
PRIMAVERA DO LESTE,15665
SENA MADUREIRA,15660
SANTO ESTEVAO,15635
JACUNDA,15617
SAO BENTO DO UNA,15595
EUSEBIO,15523
TIMBAUBA,15492
TRES CORACOES,15463
GUAPIMIRIM,15459
TIMOTEO,15457
GUAIRA,15452
LAGO DA PEDRA,15421
RIO BONITO,15329
SAO JOAO DA BOA VISTA,15316
ITABAIANINHA,15309
NOVA LIMA,15274
SALINOPOLIS,15257
ITAUNA,15256
BARREIROS,15230
FRANCISCO BELTRAO,15200
ATALAIA,15164
ZE DOCA,15158
MINEIROS,15157
EXTREMOZ,15154
JAGUAQUARA,15113
CANAA DOS CARAJAS,15095
TORITAMA,15087
VARGEM GRANDE,15082
MONTE MOR,15080
ALEGRETE,15077
REMANSO,15044
LABREA,15034
MANICORE,15023
IPU,15005
PEDRA BRANCA,14980
CORURIPE,14969
PRAINHA,14951
JOAO MONLEVADE,14929
BREU BRANCO,14917
ESTEIO,14851
SANTALUZ,14816
BREJO SANTO,14814
JOSE DE FREITAS,14811
TARAUACA,14752
AMONTADA,14700
IPIAU,14693
IGARAPE-ACU,14674
COELHO NETO,14628
SAO FRANCISCO DO CONDE,14621
SAO VICENTE FERRER,14600
MUNDO NOVO,14600
PEDRO II,14583
MOJI MIRIM,14581
LIVRAMENTO DE NOSSA SENHORA,14577
CANARANA,14567
XINGUARA,14556
LAJEDO,14541
SANTA BARBARA,14528
SAO SEBASTIAO DO PASSE,14523
MAMANGUAPE,14465
LARANJAL DO JARI,14417
SAO JOSE DE MIPIBU,14406
CONCEICAO DO ARAGUAIA,14337
BOA ESPERANCA,14312
CANSANCAO,14267
CIANORTE,14243
CAMAQUA,14226
ALTOS,14224
PLANALTO,14210
SANTA QUITERIA,14148
ENTRE RIOS,14108
LUCAS DO RIO VERDE,14095
CAPAO DA CANOA,14089
BEBEDOURO,14069
SENTO SE,14030
JABOTICABAL,14024
MATAO,14023
AFUA,14002
PIEDADE,13996
ARMACAO DOS BUZIOS,13988
REGISTRO,13962
MILAGRES,13947
COLINAS,13937
PATO BRANCO,13913
BENTO GONCALVES,13906
ERECHIM,13860
RIO REAL,13856
VARZEA ALEGRE,13832
SANTA ISABEL,13831
SANTA MARIA DA VITORIA,13778
JARAGUA,13777
IJUI,13728
ITAPEMA,13719
LAGOA SANTA,13676
JEREMOABO,13670
PARACURU,13618
FERNANDOPOLIS,13565
MOMBACA,13540
OURO BRANCO,13509
MACAUBAS,13500
EXU,13488
CRISTALINA,13465
NOSSA SENHORA DA GLORIA,13464
BAIAO,13368
NOVA VICOSA,13366
BODOCO,13356
BIGUACU,13348
SANTO ANGELO,13342
IPUEIRAS,13342
MISSAO VELHA,13338
TRIUNFO,13329
MAE DO RIO,13325
MOCAJUBA,13304
PIRAPORA,13286
AREIA BRANCA,13276
BOCAIUVA,13254
SAO MATEUS DO MARANHAO,13233
SAPIRANGA,13232
TEOTONIO VILELA,13178
INHUMAS,13159
CAMPO ALEGRE,13136
JARU,13103
MARIANA,13056
NOVA CRUZ,13052
TURIACU,13044
BARRA DO CHOCA,13023
SAO JOAO BATISTA,12992
DOM ELISEU,12989
ITIUBA,12977
AFOGADOS DA INGAZEIRA,12968
CATENDE,12953
OEIRAS,12882
MARACANA,12880
IRATI,12877
ITAITINGA,12866
LINS,12843
PILAO ARCADO,12832
FORMIGA,12776
ROLIM DE MOURA,12775
DIAMANTINA,12773
PARAISO DO TOCANTINS,12772
RIBEIRAO,12771
BATURITE,12763
MARAU,12718
ARARANGUA,12709
GUAJARA-MIRIM,12683
CURURUPU,12674
APODI,12667
GIRAU DO PONCIANO,12665
SAO RAIMUNDO NONATO,12664
ALIANCA,12648
ALMENARA,12640
CURACA,12635
SAO JOAO DA BARRA,12615
SAO SEBASTIAO DO PARAISO,12607
ROSARIO,12599
PETROLANDIA,12582
SAO BORJA,12563
ANAPU,12549
CUSTODIA,12546
GURUPA,12538
SAO CAITANO,12537
SAO GABRIEL DA CACHOEIRA,12525
IRITUIA,12522
ITAPICURU,12497
JOAO CAMARA,12468
BREJO,12457
NOVA VENECIA,12430
SAO DOMINGOS DO MARANHAO,12429
RONDON DO PARA,12409
TELEMACO BORBA,12407
CATAGUASES,12372
RIACHO DE SANTANA,12338
PRUDENTOPOLIS,12330
MARATAIZES,12329
MOCOCA,12309
JUSSARA,12287
PENTECOSTE,12281
TUCUMA,12274
PIRASSUNUNGA,12265
INHAMBUPE,12264
ALTA FLORESTA,12263
CURRAIS NOVOS,12251
PARATI,12232
ALMEIRIM,12219
CAPAO BONITO,12209
NOVO HORIZONTE,12193
TAPEROA,12188
TRAMANDAI,12172
TOUROS,12170
FRUTAL,12165
IPIXUNA DO PARA,12148
CACHOEIRA,12125
LUIS CORREIA,12120
CABROBO,12117
PEDRO LEOPOLDO,12087
MASSAPE,12080
CEDRO,12074
PARATINGA,11998
CAMAMU,11992
AMARGOSA,11971
OEIRAS DO PARA,11951
JAGUARUANA,11946
UBAJARA,11946
SAO JOSE DO BELMONTE,11929
AMARANTE DO MARANHAO,11926
MIGUEL ALVES,11884
FLORESTA,11858
ITAPORANGA D'AJUDA,11829
BOITUVA,11818
CAREIRO,11808
PARACAMBI,11789
BARREIRINHA,11767
UNIAO DA VITORIA,11745
PORTO DE MOZ,11726
